Provider,accuracy,configAccuracy,deviceid,latitude,local_time,longitude,senseStartTimeMillis,sensorType,speed,userid
GPS,10,kCLLocationAccuracyHundredMeters,14259BC9-DEDE-4E28-A653-1F39B2DD4A0E,41.8083726056,08:14:57:154 05 10 2015 -0400 EDT,-72.2669870686,1444047297000,Location,2.5999999046326,000000
GPS,10,kCLLocationAccuracyHundredMeters,14259BC9-DEDE-4E28-A653-1F39B2DD4A0E,41.8083726056,08:14:57:167 05 10 2015 -0400 EDT,-72.2669870686,1444047298000,Location,2.5999999046326,000000
GPS,65,kCLLocationAccuracyHundredMeters,14259BC9-DEDE-4E28-A653-1F39B2DD4A0E,41.8079973008,08:16:02:452 05 10 2015 -0400 EDT,-72.2658104435,1444047362000,Location,-1,000000
GPS,65,kCLLocationAccuracyNearestTenMeters,14259BC9-DEDE-4E28-A653-1F39B2DD4A0E,41.8079973008,08:16:02:608 05 10 2015 -0400 EDT,-72.2658104435,1444047363000,Location,-1,000000
GPS,65,kCLLocationAccuracyNearestTenMeters,14259BC9-DEDE-4E28-A653-1F39B2DD4A0E,41.8079973008,08:16:02:642 05 10 2015 -0400 EDT,-72.2658104435,1444047363000,Location,-1,000000
GPS,10,kCLLocationAccuracyNearestTenMeters,14259BC9-DEDE-4E28-A653-1F39B2DD4A0E,41.8080755510,08:16:07:000 05 10 2015 -0400 EDT,-72.2659554240,1444047367000,Location,1.0599999427795,000000
GPS,10,kCLLocationAccuracyHundredMeters,14259BC9-DEDE-4E28-A653-1F39B2DD4A0E,41.8080755510,08:16:07:227 05 10 2015 -0400 EDT,-72.2659554240,1444047367000,Location,1.0599999427795,000000
GPS,10,kCLLocationAccuracyHundredMeters,14259BC9-DEDE-4E28-A653-1F39B2DD4A0E,41.8080755510,08:16:07:236 05 10 2015 -0400 EDT,-72.2659554240,1444047368000,Location,1.0599999427795,000000
GPS,65,kCLLocationAccuracyHundredMeters,14259BC9-DEDE-4E28-A653-1F39B2DD4A0E,41.8077128698,08:17:26:524 05 10 2015 -0400 EDT,-72.2646898701,1444047447000,Location,-1,000000
GPS,65,kCLLocationAccuracyNearestTenMeters,14259BC9-DEDE-4E28-A653-1F39B2DD4A0E,41.8077128698,08:17:26:592 05 10 2015 -0400 EDT,-72.2646898701,1444047447000,Location,-1,000000
GPS,65,kCLLocationAccuracyNearestTenMeters,14259BC9-DEDE-4E28-A653-1F39B2DD4A0E,41.8077128698,08:17:26:600 05 10 2015 -0400 EDT,-72.2646898701,1444047447000,Location,-1,000000
GPS,10,kCLLocationAccuracyNearestTenMeters,14259BC9-DEDE-4E28-A653-1F39B2DD4A0E,41.8079152052,08:17:29:001 05 10 2015 -0400 EDT,-72.2646342684,1444047449000,Location,1.039999961853,000000
GPS,10,kCLLocationAccuracyHundredMeters,14259BC9-DEDE-4E28-A653-1F39B2DD4A0E,41.8079152052,08:17:29:153 05 10 2015 -0400 EDT,-72.2646342684,1444047449000,Location,1.039999961853,000000
